Run,Efficiency,Epack_Wh_kg,L_over_D,Harvest_kW,SiC_Gain,Range_km
1250,0.907317713483067,449.622674735021,17.9950643659425,14.7620902892049,1,5139.56443265629
1251,0.948452579249229,477.097247538132,19.4368697879791,20.5129666937465,1,5714.66816575932
1252,0.98,507.999466890872,25.4894877425494,16.9689011199688,1.02926697255435,6272.88203870589
1253,0.854325678925765,478.095149969507,23.501346815954,12.6130054664835,1.25394778108117,5137.93888823553
1254,0.98,200,25.0130370658047,22.1717140409657,1.21747651114288,2515.18483928044
1255,0.98,423.663342128308,24.9445544483137,11.926195973938,1,5224.93895723515
1256,0.98,456.363732397365,22.911273330078,8.26915333620016,1.0634181845731,5614.76703267615
1257,0.968120593411401,224.97470545389,24.1295449956247,15.058009576434,1,2766.26697433239
1258,0.866525629553212,426.029690995662,27.9693907263037,12.4938788099461,1,4647.04937608376
1259,0.782636714942896,215.226595714646,22.8377706759271,9.28313805628789,1,2127.34892199887
1260,0.787720537974129,327.342319711748,23.7948440347918,16.7120608644428,1.35015865706497,3262.67165303735
1261,0.884700609975484,421.427351359041,19.2698483348254,15.2080165801286,1,4700.82655973107
1262,0.926012472622895,200,21.7599941910761,13.4977800660807,1.04631571594906,2352.52851963897
1263,0.98,465.246181449867,24.7780561666517,18.9262442469048,1.02954613965316,5754.90888084677
1264,0.977492508995536,531.117009226169,19.9729770344864,16.6472749079473,1,6538.35398353679
1265,0.936240288296412,600.375935278279,18.6682692332737,22.948137566783,1.20594099651327,7090.65664693372
1266,0.806421677739276,412.950824228598,20.8075696282621,4.63458444125491,1,4173.86849431026
1267,0.874943279839433,311.289382056034,19.0703588408812,15.9040839998308,1,3446.25242569417
1268,0.920294091731429,200,17.5745935143732,21.4230788399057,1.25867090122983,2359.88182797776
1269,0.757302468656297,475.309891888566,20.8191489431625,17.649028860222,1,4539.5138906753
1270,0.893892300768333,565.844479956184,27.3061851542966,19.7883498848191,1.28525155910741,6375.61626163453
1271,0.787335337765924,269.78939709036,22.0939530184193,12.9308893811097,1.13095726081126,2685.72691452301
1272,0.965105946247551,621.419792036918,18.6249210458661,10.8701526494316,1,7528.17175201008
1273,0.908901683826476,274.682012355348,17.2864469436368,14.4313405089365,1.22723269687924,3160.08680339809
1274,0.91912184769058,461.058261175967,23.1058593996624,12.8713361349566,1,5332.59999006508
1275,0.911025974942488,577.283375036174,20.8851910468779,23.6058129783177,1.11894806720266,6638.5183958539
1276,0.98,682.952752209791,25.0896549153143,12.4670520404591,1.04014142106066,8402.82434756889
1277,0.828325886882872,535.208695304283,25.0468468751954,24.6174933208543,1,5602.7641360303
1278,0.922296775360674,593.495724116125,24.7786124239546,23.9316073829539,1.14898318626679,6908.45603973862
